DATE,COUNTRY,INDUSTRY,RET1M,SIZE,PE,PFCF,EVEBITDA,PB,DY,R12M1M,IMOM12M1M,UPDOWN6,SUE6,ROE,FCFROIC,VOL6M,BETA12M,NDE,NDEBITDA,SPSTSTAT,FCFROICTSTAT,DISPERSION,ACCTACF
20160630,United States,Consumer Goods,9.488081932,8.317051996,5.716972063,5.318738539,10.387744,31.89044288,1.3790821,-5.8297396,-7.6289535,40,0.7019479,17.92691335,12.43005596,0.4008736,1.4357952,11.88998698,35.16882,1.386592618,2.088962071,0.015473211,-3.048374306
20160630,United States,Oil & Gas,-4.156952858,9.39040234,-1.715037572,-0.97846677,3.3894658,24.58933239,0.3108003,-24.889029,-19.475132,63.636364,-0.9839987,-6.974721983,-2.587684538,0.49683276,1.2034165,34.13252447,228.44562,1.339699471,2.845786496,0.46124026,-14.8380516
20160630,United States,Basic Materials,6.63599968,7.953006892,-12.76320125,12.62255991,11.769037,44.26686053,2.0234866,24.671495,21.9787,-42.857143,-1.6033044,-28.83240667,17.52074183,0.29852465,1.2018355,63.46306593,180.36118,-0.042556654,3.291705,0.012446206,-26.82926829
20160630,United States,Consumer Goods,-5.934161186,9.930994251,3.448817649,4.548158677,6.8316417,7.422984108,1.9540057,31.034624,13.796532,72.22222,1.7906948,46.46133683,22.94478528,0.21625245,0.57087755,231.8479685,214.94533,3.91468634,-1.520614384,0.009256891,-6.069971566
20160630,United States,Consumer Goods,-0.465530157,10.39747241,3.218447267,1.593816336,5.19618,20.01301232,0.967231,37.18325,-4.8098803,61.53846,1.4879174,16.08177328,3.867337874,0.25528988,0.7719676,121.9296908,376.27493,6.670180108,-3.58075429,0.012683052,-2.081343943
20160630,United States,Basic Materials,19.19223022,7.33598732,1.23163775,12.19256207,11.982082,77.35206401,2.1864562,-16.106516,-1.0395467,-12.5,-1.7732341,1.592249368,10.39502195,0.5215724,1.5612464,51.76916596,238.64078,2.955472814,0.595409961,0.047502678,-7.705013937
20160630,United States,Oil & Gas,26.63550377,8.107325023,-362.7336271,-82.53259715,5.394814,-51.97836075,0,-62.757385,-42.14931,36.065575,0.32747287,,-23.48653747,1.4028515,2.396122,,1118.6666,0.766425687,-2.022844444,0.42944834,-88.50031688
20160630,United States,Telecommunications,8.376419067,9.67012037,5.821715859,14.97734275,19.128138,88.62646833,7.445709,-1.3954937,-0.25513172,-29.411764,1.2861161,6.568823027,7.071309325,0.34077272,1.081705,139.5483044,289.06433,4.404152474,0.700285428,0.015271707,-8.978237123
20160630,United States,Consumer Goods,-4.51939106,9.490775948,3.144202094,4.467003119,5.486174,14.50699491,1.3801147,22.704304,6.618917,37.5,0.36478892,21.67369682,22.56784092,0.17961237,0.61275923,49.82554809,122.87145,32.59571388,1.641588581,0.00381939,-4.597242125
20160630,United States,Basic Materials,-6.200301647,7.826660939,5.880602527,-4.452342211,9.172453,28.01464786,3.7471356,-1.6070068,-0.08563399,-44.444443,-4.9732337,20.99117061,-7.888598289,0.27840889,0.8073543,90.03133011,219.59013,0.677917505,-1.754183922,0.05268216,1.292632601
