DATE,COUNTRY,INDUSTRY,RET1M,SIZE,PE,PFCF,EVEBITDA,PB,DY,R12M1M,IMOM12M1M,UPDOWN6,SUE6,ROE,FCFROIC,VOL6M,BETA12M,NDE,NDEBITDA,SPSTSTAT,FCFROICTSTAT,DISPERSION,ACCTACF
20190628,United States,Technology,0.523364544,8.512854031,7.230606792,-3.68927367,11.25056,70.51414934,0,-12.291545,-12.898755,91.666664,5.2604604,10.25412185,-2.897811917,0.3591404,1.396321,93.41837865,352.98666,1.865291917,0.19614198,0.011968317,1.741144978
20190628,United States,Health Care,6.93693161,9.377509815,2.191421033,1.76142987,2.101176,7.926616315,,-34.918106,-49.907787,-100,-1.0554737,27.6463619,22.22171226,0.37061808,1.6301485,-52.48193491,-206.58017,15.60378998,3.108569994,0.06585819,0.646751636
20190628,United States,Technology,7.498192787,11.71310475,7.072565588,10.1021449,10.954241,13.49108258,4.6627994,-2.3207605,4.9516797,6.976744,-0.24113335,52.4240034,20.5944196,0.20856604,0.98534775,222.9051635,210.88979,-0.578445089,-6.114002543,0.00286242,-5.283590799
20190628,United States,Industrials,-12.92778873,8.517128941,3.190004951,4.885453881,4.7579813,2.384033169,,23.422182,-10.665596,71.42857,3.3897085,133.8070708,77.7975252,0.37866333,1.1665078,-242.8008121,-129.13249,16.31472336,1.203129872,0.007454739,-4.073762271
20190628,United States,Technology,0.263416767,10.40371178,0.824696757,-0.824696757,1.4851565,5.421168389,0,89.61463,40.147877,30.357143,0.23434786,15.21252796,-8.991735537,0.62064314,2.249953,8.165548098,29.674797,-0.223381514,0.946443163,0.13258544,6.650570676
20190628,United States,Technology,1.428806782,11.87255837,1.871812351,2.663621641,2.2132938,6.889630059,0,16.029358,-13.215769,14.814815,0.663746,27.16854658,29.11468886,0.2535131,1.7279121,9.150902828,28.306835,9.460414614,5.778487557,0.007604942,-7.460802818
20190628,United States,Industrials,-0.734817982,8.691640977,5.481322547,6.873911083,10.577646,49.65107279,0.8121697,10.960495,3.813696,60.526318,1.1301866,11.03968603,8.946022168,0.2506393,0.9937975,58.76442129,211.79124,0.996909018,1.596462028,0.021432944,-4.093674604
20190628,United States,Basic Materials,0.839340687,10.81741134,3.312631537,1.545654149,5.9313316,22.38431975,2.0232363,32.47453,14.717293,60.526318,0.6400786,14.79889304,5.207489058,0.17295219,0.82102424,9.424397933,34.60261,-3.284278323,0.735853708,0.008172218,-5.730956341
20190628,United States,Consumer Services,-0.860583782,8.972404398,5.543904209,6.558806581,11.335637,47.52280358,2.1905806,1.7570019,2.931714,2.9411764,-0.40801662,11.66577683,7.544141252,0.24411142,0.98414975,59.69033636,194.94333,5.682932577,-1.421785769,0.06996675,-6.57757723
20190628,United States,Industrials,1.337194443,8.440063723,4.839323005,6.530369399,7.9956884,25.1673097,1.3785498,15.135347,6.680548,66.666664,0.43281975,19.22860672,24.32109076,0.17030396,0.68523484,2.102910236,6.580584,3.248989979,0.324434937,0.008260453,-7.025239398
